Key,File,Type,UsedInMainMenu,NoTranslate,english
c1_perkPerceptionMasteryRank1Desc,progression,perk,,,"Cushion Crawler lets you harvest dukes and cash from cushioned seating, beds, baskets, carts, car seats, suitcases, and clothing piles, and LootSense now pings unopened containers up to 2m away."
c1_perkPerceptionMasteryRank1LongDesc,progression,perk,,,"Cushion Crawler lets you harvest dukes and cash from cushioned seating, beds, baskets, carts, car seats, suitcases, and clothing piles, and LootSense now pings unopened containers up to 2m away."
c1_perkPerceptionMasteryRank2Desc,progression,perk,,,"Salvage Specialist adds the ability to harvest steel from cars, gun safes, and shopping carts while LootSense extends to unopened containers up to 4m away."
c1_perkPerceptionMasteryRank2LongDesc,progression,perk,,,"Salvage Specialist adds the ability to harvest steel from cars, gun safes, and shopping carts while LootSense extends to unopened containers up to 4m away."
c1_perkPerceptionMasteryRank3Desc,progression,perk,,,"Vital Wound makes spear and rifle primary attacks inflict bleeding damage, and LootSense now highlights unopened containers up to 6m away."
c1_perkPerceptionMasteryRank3LongDesc,progression,perk,,,"Vital Wound makes spear and rifle primary attacks inflict bleeding damage, and LootSense now highlights unopened containers up to 6m away."
c1_perkPerceptionMasteryRank4Desc,progression,perk,,,"Blood Rush boosts sprinting spear power attacks by 25 percent damage while LootSense stretches to unopened containers up to 8m away."
c1_perkPerceptionMasteryRank4LongDesc,progression,perk,,,"Blood Rush boosts sprinting spear power attacks by 25 percent damage while LootSense stretches to unopened containers up to 8m away."
c1_perkPerceptionMasteryRank5Desc,progression,perk,,,"Long Shot increases rifle shot damage by 50 percent and LootSense finally reaches unopened containers up to 10m away."
c1_perkPerceptionMasteryRank5LongDesc,progression,perk,,,"Long Shot increases rifle shot damage by 50 percent and LootSense finally reaches unopened containers up to 10m away."
